stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
438,Manhattan Community Board 3,Manhattan,10003,St Marks Pl & 1 Ave,40.72779126,-73.98564945,184
168,Manhattan Community Board 5,Manhattan,10011,W 18 St & 6 Ave,40.73971301,-73.99456405,261
485,Manhattan Community Board 5,Manhattan,10018,W 37 St & 5 Ave,40.75038009,-73.98338988,157
314,,Brooklyn,11231,Montague St & Clinton St,40.69424674,-73.99215922,67
307,Manhattan Community Board 3,Manhattan,10002,Canal St & Rutgers St,40.71427487,-73.98990025,164
329,Manhattan Community Board 1,Manhattan,,Greenwich St & N Moore St,40.72043411,-74.01020609,190
539,,Brooklyn,11249,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,118
150,Alphabet City,Manhattan,10009,E 2 St & Avenue C,40.7208736,-73.98085795,99
301,Alphabet City,Manhattan,10009,E 2 St & Avenue B,40.72217444,-73.98368779,176
545,Manhattan Community Board 6,Manhattan,10010,E 23 St & 1 Ave,40.736502,-73.97809472,195
351,Manhattan Community Board 1,Manhattan,10045,Front St & Maiden Ln,40.70530954,-74.00612572,127
347,Manhattan Community Board 2,Manhattan,10014,W Houston St & Hudson St,40.72873888,-74.00748842,304
173,Clinton,Manhattan,10019,Broadway & W 49 St,40.76064679,-73.98442659,202
406,,Brooklyn,11201,Hicks St & Montague St,40.69512845,-73.99595065,84
435,Manhattan Community Board 4,Manhattan,10011,W 21 St & 6 Ave,40.74173969,-73.99415556,349
217,Dumbo,Brooklyn,11242,Old Fulton St,40.70277159,-73.99383605,89
120,Clinton Hill,Brooklyn,11221,Lexington Ave & Classon Ave,40.68676793,-73.95928168,31
483,Manhattan Community Board 3,Manhattan,10009,E 12 St & 3 Ave,40.73223272,-73.98889957,203
515,Clinton,Manhattan,10036,W 43 St & 10 Ave,40.76009437,-73.99461843,229
412,Manhattan Community Board 3,Manhattan,10002,Forsyth St & Canal St,40.7158155,-73.99422366,112
402,Manhattan Community Board 5,Manhattan,10010,Broadway & E 22 St,40.7403432,-73.98955109,300
477,Manhattan Community Board 5,Manhattan,10036,W 41 St & 8 Ave,40.75640548,-73.9900262,365
294,Washington Square Village,Manhattan,10011,Washington Square E,40.73049393,-73.9957214,246
508,Clinton,Manhattan,10036,W 46 St & 11 Ave,40.76341379,-73.99667444,137
432,Manhattan Community Board 3,Manhattan,10009,E 7 St & Avenue A,40.72621788,-73.98379855,193
330,Manhattan Community Board 1,Manhattan,10013,Reade St & Broadway,40.71450451,-74.00562789,115
318,Manhattan Community Board 5,Manhattan,10017,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,328
174,Manhattan Community Board 6,Manhattan,10010,E 25 St & 1 Ave,40.7381765,-73.97738662,125
2017,Turtle Bay,Manhattan,10017,E 43 St & 2 Ave,40.75022392,-73.97121414,110
498,Manhattan Community Board 5,Manhattan,,Broadway & W 32 St,40.74854862,-73.98808416,218
343,Brooklyn Navy Yard,Brooklyn,11251,Clinton Ave & Flushing Ave,40.69794,-73.96986848,19
375,Washington Square Village,Manhattan,10011,Mercer St & Bleecker St,40.72679454,-73.99695094,231
236,Manhattan Community Board 3,Manhattan,10003,St Marks Pl & 2 Ave,40.7284186,-73.98713956,196
2021,Clinton,Manhattan,10036,W 45 St & 8 Ave,40.75929124,-73.98859651,181
337,Financial District,Manhattan,10005,Old Slip & Front St,40.7037992,-74.00838676,76
323,,Brooklyn,11201,Lawrence St & Willoughby St,40.69236178,-73.98631746,256
355,Manhattan Community Board 3,Manhattan,10013,Bayard St & Baxter St,40.71602118,-73.99974372,167
339,East Village,Manhattan,10009,Avenue D & E 12 St,40.72580614,-73.97422494,35
327,Manhattan Community Board 1,Manhattan,10285,Vesey Pl & River Terrace,40.7153379,-74.01658354,293
394,Alphabet City,Manhattan,10009,E 9 St & Avenue C,40.72521311,-73.97768752,157
489,Manhattan Community Board 4,Manhattan,10019,10 Ave & W 28 St,40.75066386,-74.00176802,170
518,Manhattan Community Board 6,Manhattan,10016,E 39 St & 2 Ave,40.74780373,-73.9734419,293
