,start_hour,age,trip_minutes,clusters
265,17,24.0,14,1
266,17,28.0,5,1
267,7,43.0,3,2
268,7,36.0,15,2
269,18,51.0,20,3
270,17,35.0,11,1
271,22,47.0,3,1
272,8,41.0,8,2
273,18,37.0,30,0
274,17,40.0,6,1
275,14,36.0,22,0
276,15,39.0,3,1
277,10,42.0,19,2
278,6,31.0,20,2
279,15,46.0,13,3
280,10,32.0,6,2
281,16,35.0,11,1
282,13,28.0,17,2
283,18,31.0,21,1
284,8,61.0,29,3
285,19,36.0,23,0
286,10,63.0,13,3
287,12,61.0,9,3
288,17,30.0,9,1
289,13,37.0,39,0
290,15,49.0,14,3
291,17,38.0,38,0
292,14,57.0,11,3
293,14,46.0,6,3
294,6,29.0,7,2
295,18,63.0,17,3
296,17,25.0,20,1
297,10,32.0,7,2
298,9,29.0,9,2
299,18,27.0,11,1
300,15,31.0,19,1
301,16,29.0,10,1
302,17,50.0,10,3
303,15,36.0,16,1
304,21,29.0,6,1
305,18,43.0,9,1
306,22,92.0,1,3
307,16,39.0,5,1
308,18,29.0,8,1
309,16,46.0,32,0
310,21,26.0,8,1
311,15,36.0,44,0
312,11,36.0,44,0
313,7,29.0,13,2
314,18,22.0,5,1
315,17,41.0,8,1
316,9,35.0,3,2
317,8,46.0,7,2
318,7,34.0,15,2
319,9,31.0,17,2
320,12,36.0,44,0
321,6,42.0,11,2
322,18,30.0,32,0
323,19,25.0,6,1
324,17,32.0,4,1
325,15,27.0,23,0
326,16,38.0,10,1
327,18,36.0,19,1
328,18,17.0,30,0
329,9,43.0,9,2
330,16,53.0,5,3
331,15,38.0,4,1
332,16,50.0,13,3
333,16,41.0,9,1
334,7,48.0,7,2
335,15,32.0,11,1
336,21,33.0,23,1
337,13,36.0,22,0
338,7,73.0,33,3
339,8,30.0,28,0
340,17,47.0,6,3
341,22,30.0,17,1
342,23,36.0,30,0
343,9,38.0,13,2
344,16,35.0,16,1
345,19,36.0,7,1
346,18,30.0,8,1
347,19,33.0,6,1
